XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
386615.336,3946510.668,305807,306855,153428,33.536683000000004
386585.6082,3946506.82,305808,305963,152983,48.141178000000004
386585.6082,3946506.82,305808,306555,153279,29.98084
386809.8162,3946511.542,305836,306019,153011,79.50976700000001
386809.8162,3946511.542,305836,306173,153087,9.868934
386707.2994,3946513.723,305906,305942,152971,21.555896
386707.2994,3946513.723,305906,306360,153180,16.059078
386538.5799,3946515.873,305963,306393,153197,18.520389
386050.5238,3946516.265,305989,306403,153203,34.973467
386050.5238,3946516.265,305989,307441,153721,41.784669
386852.8624,3946516.84,306006,306173,153088,41.881644
386852.8624,3946516.84,306006,306826,153413,22.98828
386254.8035,3946518.055,306049,306110,153056,21.008447
386254.8035,3946518.055,306049,306871,153436,55.501829
386254.8035,3946518.055,306049,308027,154014,53.156560999999996
386233.8657,3946519.776,306110,306218,153110,25.594656
386344.7142,3946519.8789999997,306115,306485,153243,26.077671
386811.2351,3946521.308,306173,306191,153096,5.697159
386805.5549,3946521.7460000003,306191,306360,153223,89.349682
386805.5549,3946521.7460000003,306191,306665,153333,12.689457
386681.2644,3946521.8639999996,306196,306587,153294,12.827124000000001
386681.2644,3946521.8639999996,306196,306644,153322,13.678785000000001
386208.3717,3946522.043,306218,306399,153201,59.984869999999994
386968.4477,3946523.502,306285,306168,153143,51.211562
386968.4477,3946523.502,306285,306327,153164,27.936142999999998
386968.4477,3946523.502,306285,308292,154146,56.981203
386940.529,3946524.4889999996,306327,306329,153166,0.94179
386940.529,3946524.4889999996,306327,306882,153441,16.590871
386939.5878,3946524.5239999997,306329,306379,153190,33.60498
386717.114,3946525.113,306360,306673,153338,31.8495
386906.00399999996,3946525.716,306379,306423,153213,43.834226
386906.00399999996,3946525.716,306379,306528,153264,4.812922
386554.0557,3946526.015,306393,306555,153278,16.476288
386554.0557,3946526.015,306393,309059,154531,122.29500900000001
386148.5446,3946526.392,306399,306852,153427,42.057249
386148.5446,3946526.392,306399,308317,154159,57.116988
386017.1019,3946526.567,306403,307395,153699,94.865742
386017.1019,3946526.567,306403,307897,153949,43.107388
386862.1918,3946527.105,306423,310839,155420,124.319024
386368.904,3946529.6210000003,306485,306565,153283,6.049135
386368.904,3946529.6210000003,306485,307711,153857,37.859781
386906.7073,3946530.477,306528,306775,153388,12.701493
386906.7073,3946530.477,306528,310244,155122,104.29301600000001
386569.5243,3946531.3419999997,306555,308085,154088,72.66184200000001
386374.5803,3946531.711,306565,307851,153927,38.341633
386689.0628,3946532.0489999996,306587,306644,153323,14.234646
386689.0628,3946532.0489999996,306587,306673,153337,2.769787
386674.9235,3946533.693,306644,306855,153429,46.132554
386806.4583,3946534.4039999996,306665,306668,153334,9.97557
386806.4583,3946534.4039999996,306665,307075,153538,83.459848
386690.0915,3946534.62,306673,307157,153579,13.992767
386896.5876,3946537.7939999998,306775,306802,153401,13.757518
386896.5876,3946537.7939999998,306775,307045,153523,8.672972999999999
386884.0092,3946539.019,306802,307212,153606,11.41837
386855.5611,3946539.67,306826,308589,154295,243.874902
386855.5611,3946539.67,306826,310882,155441,112.849457
386108.8772,3946540.367,306852,307441,153722,46.366821
386108.8772,3946540.367,306852,308560,154280,46.284651000000004
386629.2873,3946540.443,306855,308085,154043,37.358776
386305.3635,3946540.9489999996,306871,307711,153856,50.918755
386305.3635,3946540.9489999996,306871,308605,154303,48.136953999999996
386900.5298,3946545.21,307045,307212,153711,25.779485
386900.5298,3946545.21,307045,310081,155042,87.240276
386723.8182,3946546.0719999997,307075,307129,153565,12.544416
386723.8182,3946546.0719999997,307075,307129,153637,13.145247
386715.3718,3946547.566,307129,307275,153639,22.311452
386693.0346,3946548.172,307157,307275,153638,3.075228
386693.0346,3946548.172,307157,307399,153715,18.541751
386882.4334,3946549.667,307212,310035,155018,81.99212
386693.3633,3946551.23,307275,307399,153700,3.022577
386693.8088,3946554.22,307399,308085,154044,88.985413
386065.0322,3946555.45,307441,307618,153809,15.250175
386479.2004,3946557.422,307498,308693,154348,95.93977199999999
386479.2004,3946557.422,307498,309364,154682,51.431497
386050.6094,3946560.405,307618,307897,153950,21.01282
386050.6094,3946560.405,307618,309287,154644,46.537603999999995
386351.2147,3946563.0939999996,307711,307851,153926,7.971319
386351.2147,3946563.0939999996,307711,309242,154622,44.939944
386358.4287,3946566.485,307851,308041,154021,10.322997
386358.4287,3946566.485,307851,309322,154662,45.180023999999996
386030.8081,3946567.437,307897,309153,154578,92.29747900000001
386251.5245,3946571.046,308027,308170,154085,36.025059999999996
386251.5245,3946571.046,308027,309523,154762,40.876422999999996
386367.4914,3946571.4280000003,308041,308183,154092,7.757173
386367.4914,3946571.4280000003,308041,310541,155272,79.301378
386215.6708,3946574.555,308170,308317,154160,42.634603999999996
386215.6708,3946574.555,308170,309902,154951,48.886818
386374.4611,3946574.833,308183,308693,154347,28.205823
386374.4611,3946574.833,308183,310617,155310,78.787848
386987.0946,3946577.3460000004,308292,307700,154147,47.327304
386987.0946,3946577.3460000004,308292,310230,155115,59.28329599999999
386173.1698,3946577.9280000003,308317,308448,154224,25.361926999999998
386173.1698,3946577.9280000003,308317,309239,154620,27.173268
386148.0142,3946581.1560000004,308448,308560,154281,24.805692
386148.0142,3946581.1560000004,308448,309511,154756,31.612816
386123.41,3946584.311,308560,309287,154645,61.519859999999994
386123.41,3946584.311,308560,309858,154929,39.370728
386617.1352,3946585.0489999996,308589,308934,514932,30.733484999999998
386286.7184,3946585.328,308605,309242,154621,46.991419
386286.7184,3946585.328,308605,309609,154806,31.547863
386399.6393,3946587.547,308693,310476,155238,58.113053
386562.2328,3946593.5810000002,308931,308932,154466,51.240008
386562.2328,3946593.5810000002,308931,308934,154467,24.827857
386562.2328,3946593.5810000002,308931,309231,154617,57.850528000000004
386502.3862,3946598.4930000002,309059,309231,154616,4.985172
386505.1014,3946602.6739999996,309231,314989,157495,170.996373
386184.0002,3946602.85,309239,309511,154757,27.923423
386184.0002,3946602.85,309239,310225,155113,33.126146000000006
386330.3106,3946602.876,309242,309322,154661,7.049611
386330.3106,3946602.876,309242,310289,155146,35.786640999999996
386065.3171,3946604.558,309287,309936,154968,63.268251
386065.3171,3946604.558,309287,310579,155290,40.164384000000005
386336.6074,3946606.046,309322,310411,155207,35.491327000000005
386491.6795,3946607.316,309364,311018,155510,54.02585799999999
386491.6795,3946607.316,309364,316474,158237,205.579166
386157.4001,3946611.3439999996,309511,309858,154930,23.660058
386247.7897,3946611.752,309523,309609,154805,27.069692
386247.7897,3946611.752,309523,309902,154952,30.294331
386274.5055,3946614.416,309609,310289,155145,45.099540999999995
386136.0736,3946621.59,309858,310579,155291,61.14135
386136.0736,3946621.59,309858,311318,155659,43.994213
386219.7706,3946623.27,309902,310225,155114,24.671309
386005.3022,3946624.585,309936,310529,155266,51.187015
386005.3022,3946624.585,309936,311370,155685,41.178621
386889.597,3946628.151,310035,310081,155041,23.322124
386889.597,3946628.151,310035,310373,155187,8.771129
386910.0091,3946629.245,310081,310244,155143,16.365682999999997
386197.2001,3946633.232,310225,311005,155503,24.538996
386921.9347,3946633.653,310244,310654,155327,10.766497
386314.6149,3946635.037,310289,310411,155206,7.095888
386314.6149,3946635.037,310289,311854,155928,42.795168
386321.0805,3946637.961,310411,310541,155271,10.109226
386321.0805,3946637.961,310411,311954,155978,42.341449
386374.4322,3946639.9080000003,310476,311018,155509,100.369012
386374.4322,3946639.9080000003,310476,311071,155537,18.843764
386330.5244,3946641.567,310541,310617,155309,6.1321769999999995
386330.5244,3946641.567,310541,312106,156054,42.666769
386078.6046,3946642.46,310579,311370,155686,64.512352
386078.6046,3946642.46,310579,312213,156107,43.776132000000004
386336.2649,3946643.724,310617,311071,155536,32.752382
386336.2649,3946643.724,310617,314248,157124,100.855468
386923.5006,3946644.305,310654,310230,155328,83.71051
386923.5006,3946644.305,310654,310664,155332,1.323193
386922.1901,3946644.488,310664,310839,155421,42.623084000000006
386922.1901,3946644.488,310664,313558,156779,73.14373
386879.9448,3946650.15,310839,310882,155442,9.433943
386879.9448,3946650.15,310839,317989,158995,178.673928
386870.6096,3946651.5110000004,310882,313512,156756,64.867519
386861.8813,3946653.608,310963,310964,155482,0.426296
386861.4593,3946653.668,310964,311404,155702,79.218868
386861.4593,3946653.668,310964,311407,155704,97.433212
386861.4593,3946653.668,310964,311817,155910,88.353709
386208.3353,3946655.099,311005,311112,155556,51.19323
386208.3353,3946655.099,311005,311318,155660,57.265308
386208.3353,3946655.099,311005,313045,156523,51.746139
386473.5803,3946655.515,311018,314233,157117,83.48490600000001
386366.2562,3946656.8860000004,311071,314498,157250,95.69655999999999
386257.6998,3946658.184,311112,311854,155927,42.762634999999996
386257.6998,3946658.184,311112,313167,156585,50.962614
386151.5846,3946662.7589999996,311318,312213,156108,62.416174
386151.5846,3946662.7589999996,311318,313045,156624,100.041044
386017.7382,3946663.841,311370,313148,156574,42.776919
386783.0399,3946664.895,311404,311407,155705,0.772565
386782.2754,3946665.006,311407,311416,155708,0.943333
386782.2754,3946665.006,311407,311817,155909,8.735776
386781.3419,3946665.142,311416,311581,155791,37.534302000000004
386781.3419,3946665.142,311416,311581,155792,19.335094
386781.3419,3946665.142,311416,311931,155968,28.20477
386762.2089,3946667.93,311581,311586,155793,0.06813999999999999
386762.2089,3946667.93,311581,311931,155967,8.837541
386762.1415,3946667.94,311586,311598,155799,2.396925
386762.1415,3946667.94,311586,311931,155966,8.837494
386762.1415,3946667.94,311586,312562,156281,120.78023999999999
386759.7696,3946668.2860000003,311598,311792,155896,35.268859
386297.3518,3946674.1960000005,311854,311954,155977,7.79145
386297.3518,3946674.1960000005,311854,313701,156852,50.894353
386763.4437,3946676.6810000003,311931,314060,157162,284.44042
386304.6304,3946676.9760000003,311954,312106,156053,10.442378
386304.6304,3946676.9760000003,311954,313807,156905,51.329521
386314.2609,3946681.0130000003,312106,314273,157137,61.166928000000006
386092.8422,3946683.856,312213,313148,156575,66.07163
386727.0078,3946690.613,312562,314060,157030,97.260582
386230.1485,3946702.023,313045,313167,156584,8.37807
386030.1683,3946704.772,313148,313439,156720,30.41112
386237.9204,3946705.152,313167,313455,156728,21.764439000000003
386662.7658,3946678.795,313213,313214,156607,28.126776
386669.0273,3946706.216,313214,313609,156806,67.484649
386669.0273,3946706.216,313214,314714,157357,42.920514000000004
386000.8185,3946712.736,313439,313605,156804,20.847738
386000.8185,3946712.736,313439,315459,157731,98.663731
386258.1145,3946713.269,313455,313701,156851,20.989056
386258.1145,3946713.269,313455,314801,157402,39.497405
386881.6983,3946715.4239999996,313512,315104,157584,276.049511
386881.6983,3946715.4239999996,313512,318028,159014,113.87381599999999
386934.5323,3946716.583,313558,313081,156780,93.062365
386934.5323,3946716.583,313558,315658,157829,54.124756000000005
386602.6173,3946718.212,313609,313610,156805,26.774346
386602.6173,3946718.212,313609,315104,157553,39.177438
386277.5895,3946721.0960000004,313701,313807,156904,8.323094000000001
386277.5895,3946721.0960000004,313701,314198,157099,15.924356
386285.1927,3946724.483,313807,315249,157626,38.87873
386724.8389,3946732.163,314060,314714,157358,54.404081999999995
386271.6491,3946735.8710000003,314198,314230,157115,2.197768
386271.6491,3946735.8710000003,314198,315135,157569,23.506535999999997
386273.6612,3946736.755,314230,314744,157372,12.653114
386461.1932,3946736.9669999997,314233,315575,157789,49.421351
386461.1932,3946736.9669999997,314233,317287,158644,93.53214
386298.9435,3946737.098,314248,314357,157180,3.0436509999999997
386298.9435,3946737.098,314248,314498,157249,28.475381
386291.5649,3946737.813,314273,314357,157179,6.767927
386291.5649,3946737.813,314273,316397,158199,56.312304000000005
386297.9755,3946739.983,314357,314647,157324,28.063009
386297.9755,3946739.983,314357,314657,157330,7.623164
386326.5727,3946743.966,314498,314647,157325,3.0502990000000003
386482.8782,3946746.297,314629,314630,157315,20.149075
386482.8782,3946746.297,314629,314751,157376,3.557464
386482.8782,3946746.297,314629,316832,158416,70.004116
386325.2224,3946746.702,314647,314707,157354,55.88900699999999
386325.2224,3946746.702,314647,316430,158284,78.57002
386295.1507,3946747.064,314657,314658,157329,2.942066
386295.1507,3946747.064,314657,315635,157819,24.431003
386292.4118,3946745.9889999996,314658,315579,157790,24.428269
386379.3168,3946748.0069999998,314707,315575,157788,49.134405
386678.5237,3946748.0730000003,314714,315006,157503,36.406788
386268.8403,3946748.454,314744,1017294,508647,20.910472
